,Epoch,B-HGME Test AP,B-HGME Test ROC,B-HGME Test AUPRC
52,52,0.9464265711760257,0.9427777988095376,0.9482718343782162
53,53,0.9381821594726353,0.9339195855513751,0.9403908881267387
54,54,0.9474072462617527,0.9440427378303765,0.9488903364186853
55,55,0.948637052208842,0.9455643047676734,0.9502475948602627
56,56,0.9489922138380389,0.9461860359468369,0.9501766400649359
57,57,0.9490065655736583,0.9460757405444442,0.9504936955494954
58,58,0.9313978390219316,0.9262531450570187,0.9340851547392002
59,59,0.9415706321830919,0.9379885030693427,0.9436852622764775
60,60,0.9511477955771086,0.9483802956353597,0.9526772063752511
61,61,0.9507314130666857,0.94806870202332,0.9521079443147507
62,62,0.9522423647664385,0.949633222285641,0.9537313872892508
63,63,0.9536185502179799,0.9509909841698795,0.9550964085017823
64,64,0.9541044668234016,0.9515886906079278,0.955575372121019
65,65,0.9528468372499489,0.9505174055609267,0.9541910192768347
66,66,0.9544939352498085,0.9521405316311197,0.9559404842833044
67,67,0.9538185936524245,0.9515646658668127,0.9551153546276139
68,68,0.9539072302493281,0.9516425642698225,0.9554303032464282
69,69,0.9377606359243811,0.9337747090822257,0.9397694047402103
70,70,0.9473881889579133,0.9449680543745413,0.9490623421664778
71,71,0.9550202350671412,0.9530046942888095,0.9564294704830154
72,72,0.9565513204920739,0.9544432666658902,0.9580984449640176
73,73,0.9557145242249079,0.9536941315565703,0.9573320033211115
74,74,0.9396095608361076,0.9358328285710957,0.941958647230151
75,75,0.9401542108008987,0.9365120735244441,0.9422886153267176
76,76,0.9575906456409825,0.955546220689816,0.9591152599231734
77,77,0.9566222217453372,0.9547286514694406,0.9580320115781138
78,78,0.957874222657895,0.9562953557991357,0.9594515842897698
79,79,0.9582256416301326,0.9566833917692693,0.9597087976044568
80,80,0.958317938862433,0.9568217160362962,0.9594349380425531
81,81,0.9587146885049205,0.9572381448822932,0.9598042011887391
82,82,0.9598140468923346,0.9581030355624411,0.9611528892665504
83,83,0.9593016253502514,0.9578176507588907,0.9604207894189742
84,84,0.9592882505727872,0.9576931589185664,0.9605439867945545
85,85,0.9606062624431039,0.9590050553879487,0.9620541006931749
86,86,0.9531503275751555,0.9513280585679507,0.9547065602483907
87,87,0.9604466338081442,0.9591874250136868,0.9615248803640151
88,88,0.9606941931869415,0.9594458729862899,0.9617994114844512
89,89,0.9619911198669495,0.9601811756689073,0.9634030409740223
90,90,0.9464524839234304,0.9437005672750994,0.9481654620039954
91,91,0.961152064614737,0.9599376521566938,0.9623223481331178
92,92,0.9622989266541359,0.9604800288879312,0.9637387795133299
93,93,0.9625317120020982,0.9607719658936039,0.9638920742182473
94,94,0.9548502381771012,0.9530403673892532,0.9564258121844063
95,95,0.9626722206578218,0.9612065953010519,0.964126295581062
96,96,0.9630492528938979,0.9613329071975214,0.9644701522232335
97,97,0.9615229474451995,0.9601669792309754,0.9629667266646826
98,98,0.9624287093267234,0.9609459632610747,0.9640428320306923
99,99,0.9622014742570267,0.961112680403965,0.9632853433088913
100,100,0.9623653837074069,0.9613041503104287,0.9635751513801228
101,101,0.9624921719178151,0.9614526668918683,0.9636787138981324
102,102,0.9483920602595456,0.9457848955724587,0.9500510277170124
103,103,0.9629748374223933,0.9621086151265594,0.9641242873710805
104,104,0.9628014398030056,0.961544397721581,0.9642250729421538
105,105,0.9569639661717848,0.9550773742268402,0.9583735700837113
106,106,0.9642394532370232,0.9628814109657655,0.9657237545742886
107,107,0.9645498213436051,0.9632982038229916,0.9659589292363515
108,108,0.9576330017308048,0.9559000396044218,0.9588543953252339
109,109,0.9638704880494966,0.9630557723444653,0.9650202979971093
110,110,0.9637175956328135,0.9626276951391396,0.9649367798737478
111,111,0.9636904329524659,0.9625046593437314,0.9651824883142397
112,112,0.9644167807957873,0.9630077228622349,0.965754956667213
113,113,0.9648388737494715,0.9636218098055889,0.9661778687862742
114,114,0.9582849421470743,0.9566196898041911,0.9595853701038302
115,115,0.9660706989757414,0.9648852927815116,0.9672171092173842
116,116,0.9655950128028581,0.964396789712169,0.9669244853771399
117,117,0.9652297106274801,0.9640953884145417,0.966468303453238
118,118,0.9648094199120376,0.9641529021887267,0.9660701087114766
119,119,0.9649373439119945,0.9642817621637992,0.9662181484706154
